,Country,latitude,longitude,GeoCountryName
0,Kuwait,29.27339554,47.49794769,Kuwait
1,Namibia,-23.23354912,17.32311058,Namibia
2,Guinea,10.72262287,-10.70835876,Guinea
3,Brazil,-10.33333302,-53.20000076,Brazil
4,Slovakia/Slovak R.,48.70747757,19.48480606,Slovakia
5,Timor Leste,-8.7982254,125.9489212,Timor-Leste
6,Bouvet Island,-54.42127228,3.35795093,Bouvet Island
7,Honduras,14.82235622,-86.59790039,Honduras
8,Solomon Islands,-9.62266254,160.16011047,Solomon Islands
9,Western Sahara,24.17973328,-13.76678467,"Western Sahara, Morocco"
10,Comoros,-12.20451736,44.28329468,Comoros
11,Nepal,28.26092148,83.93660736,Nepal
12,Germany,51.09197998,10.38081741,Germany
13,Qatar,25.33369827,51.22953033,Qatar
14,Gaza Strip,31.44322395,34.36000824,Gaza Strip
15,Lesotho,-29.60392761,28.33502007,Lesotho
16,Ethiopia,10.21166992,38.65211868,Ethiopia
17,Tunisia,33.84394073,9.4001379,Tunisia
18,French Polynesia,-17.67744064,-149.40110779,French Polynesia
19,Kiribati,1.85814202,-157.36517334,Kiribati
20,Martinique,14.61137295,-60.96207809,Martinique
21,Bahrain,26.15512466,50.53446198,Bahrain
22,Portugal,39.68219757,-7.96828794,Portugal
23,Mauritius,-20.28341293,57.57181549,Mauritius
24,Sweden,62.83867264,16.74303818,Sweden
25,Malta,35.88811874,14.44021893,Malta
26,B.Indian Ocean Terr.,39.87748333,-74.66310135,"Avenue B, Vincentown, NJ 08088, United States"
27,Italy,43.52555084,12.15999889,Italy
28,Rwanda,-1.96466303,30.06443596,Rwanda
29,Northern Mariana Is.,15.17536354,145.7379303,Northern Mariana Islands
30,South Sudan,7.86994314,29.66679001,South Sudan
31,Iraq,33.09558105,44.17497635,Iraq
32,Estonia,58.68366241,25.83779716,Estonia
33,Saint Helena,-15.9651041,-5.70684385,
34,Central African R.,-26.02513664,27.92993564,"Central African Republic Avenue, Johannesburg, Gauteng 2188, South Africa"
35,europien Union,42.67873383,23.32194519,"Lozenets, Sofia City, Bulgaria"
36,Benin,9.52934742,2.25844097,Benin
37,Cuba,23.013134,-80.83287811,Cuba
38,United Kingdom,53.93707657,-2.5180161,United Kingdom
39,Bahamas,24.77365494,-78.00005341,The Bahamas
40,Gibraltar,36.13614273,-5.34870815,Gibraltar
41,Sri Lanka,7.55549383,80.71378326,Sri Lanka
42,Panama,8.5197258,-80.08855438,Panama
43,Papua New Guinea,-5.68160677,144.24890137,Papua New Guinea
44,Spain,40.3901062,-3.55436611,Spain
45,Republic of Moldova,47.2022171,28.46500397,Moldova
46,Philippines,15.94740677,121.42166901,Philippines
47,Lithuania,55.33676529,23.90493774,Lithuania
48,Austria,47.58707047,14.14098835,Austria
49,Chile,-31.76133728,-71.31877136,Chile
50,Paraguay,-23.31659317,-58.16934586,Paraguay
51,Liberia,5.74997187,-9.36585236,Liberia
52,Albania,41.13994598,20.06507683,Albania
53,Colombia,4.09991693,-72.90881348,Colombia
54,St.Vincent/Grenadine,13.25145435,-61.18910599,Saint Vincent and the Grenadines
55,Poland,52.12467194,19.40042686,Poland
56,Belarus,53.54193497,28.04946327,Belarus
57,Christmas Islands,22.26114082,113.94608307,"The Islands District, Hong Kong SAR"
58,Svalbard and Jan Mayen,78.60220337,15.90485668,Svalbard
59,Latvia,56.85401154,24.9270668,Latvia
60,Haiti,19.13999557,-72.35709381,Haiti
61,Libya,26.82344627,18.12367249,Libya
62,St.Kitts and Nevis,17.33983231,-62.76567078,Saint Kitts and Nevis
63,Uruguay,-32.87555313,-56.02015305,Uruguay
64,Nauru,-0.525231,166.93244934,Nauru
65,Liechtenstein,47.14120483,9.55286407,Liechtenstein
66,Cayman  Islands,19.31824493,-81.24090576,Cayman Islands
67,Andorra,42.54529953,1.57542706,Andorra
68,Costa Rica,9.97899818,-84.19515228,Costa Rica
69,Fiji,-17.83581543,177.96444702,Fiji
70,Uganda,1.533355,32.21665955,Uganda
71,Vanuatu,-15.24147129,166.87277222,Vanuatu
72,Seychelles,-4.65749788,55.45401382,Seychelles
73,Hungary,47.1652832,19.41218948,Hungary
74,French Southern Terr,53.23089875,-1.205056,"French Terrace, Mansfield, England NG20 9, United Kingdom"
75,Democratic Republic of the Congo,-2.98143411,23.82226372,Democratic Republic of the Congo
76,Madagascar,-18.92496109,46.44164276,Madagascar
77,Gabon,-0.89997,11.68997002,Gabon
78,Denmark,56.03481293,9.31906033,Denmark
79,Norfolk Island,-29.03250313,167.95237732,Norfolk Island
80,Kenya,1.44196796,38.43139648,Kenya
81,Europien Union,42.67873383,23.32194519,"Lozenets, Sofia City, Bulgaria"
82,British Virgin Is.,37.2036972,-113.18614197,"Virgin, UT, United States"
83,Norway,62.14135361,9.60162926,Norway
84,El Salvador,13.73266697,-88.86725616,El Salvador
85,Macedonia,41.60055542,21.7010479,North Macedonia
